State,Utility,Sample ID,Analyte,Value (PPT)
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,Total PFAS,48.6
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFPeA,19.1
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFHxA,9.7
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFOA,6.6
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFBA,6.5
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFBS,3.4
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFHpA,3.3
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,Total PFAS,48.2
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFPeA,18.2
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFHxA,9.2
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFOA,7.4
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFBA,6.3
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFBS,3.6
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFHpA,3.5
Native American Reservations,Mashantucket Pequot Water System,810-81002-1,Total PFAS,3.6
Native American Reservations,Mashantucket Pequot Water System,810-81002-1,PFPeA,3.6
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,Total PFAS,48.9
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFPeA,18.5
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFHxA,9.9
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFOA,7.1
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFBA,6.2
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFBS,3.6
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFHpA,3.6
Native American Reservations,POTTAWATOMIE CO. RWD #3 (DALE PLANT),107470P,Total PFAS,7.4
Native American Reservations,POTTAWATOMIE CO. RWD #3 (DALE PLANT),107470P,PFOS,4.1
Native American Reservations,POTTAWATOMIE CO. RWD #3 (DALE PLANT),107470P,PFHxS,3.3
Native American Reservations,FORT WASHAKIE,117255P,Total PFAS,9.3
Native American Reservations,FORT WASHAKIE,117255P,PFOA,9.3
Native American Reservations,TREATMENT PLANT (EP1,117255P,PFHxA,3.0
Native American Reservations,C4H0611-01,117255P,PFPeA,3.9
Native American Reservations,Chukchansi Gold Resort,109513R,Total PFAS,13.2
Native American Reservations,Chukchansi Gold Resort,109513R,PFBS,9.9
Native American Reservations,Chukchansi Gold Resort,109513R,PFPeA,3.3
Native American Reservations,Chukchansi Gold Resort,114990R,Total PFAS,25.2
Native American Reservations,Chukchansi Gold Resort,114990R,PFBS,11.9
Native American Reservations,Chukchansi Gold Resort,114990R,PFPeA,5.0
Native American Reservations,Chukchansi Gold Resort,114990R,PFOA,4.8
Native American Reservations,Chukchansi Gold Resort,114990R,PFHxA,3.5
Native American Reservations,C4B3716-01,114990R,PFBS,3.9
Native American Reservations,C4B3716-05,114990R,PFBS,6.0
Native American Reservations,C4B3716-05,114990R,PFPeA,4.9
Native American Reservations,C4B3716-07,114990R,PFPeA,21.0
Native American Reservations,C4B3716-07,114990R,PFBS,12.0
Native American Reservations,C4B3716-07,114990R,PFHxA,7.2
Native American Reservations,C4B3716-07,114990R,PFOA,6.1
Native American Reservations,C4H2549-05,114990R,PFBS,11.0
Native American Reservations,C4H2549-05,114990R,PFPeA,8.9
Native American Reservations,C4H2549-05,114990R,PFHxA,3.0
Native American Reservations,C4H2549-07,114990R,PFPeA,23.0
Native American Reservations,C4H2549-07,114990R,PFBS,11.0
Native American Reservations,C4H2549-07,114990R,PFHxA,6.9
Native American Reservations,C4H2549-07,114990R,PFOA,5.2
Native American Reservations,C3H3400-05,114990R,PFPeA,6.4
Native American Reservations,C3H3400-05,114990R,PFHxA,4.2
Native American Reservations,C3H3400-05,114990R,PFBS,3.0
Native American Reservations,C4C3289-05,114990R,PFPeA,8.9
Native American Reservations,C4C3289-05,114990R,PFHxA,6.2
Native American Reservations,C4C3289-05,114990R,PFBS,3.0
Native American Reservations,Rincon Northern,113792P,Total PFAS,28.8
Native American Reservations,Rincon Northern,113792P,PFOS,8.9
Native American Reservations,Rincon Northern,113792P,PFHxA,5.9
Native American Reservations,Rincon Northern,113792P,PFOA,5.6
Native American Reservations,Rincon Northern,113792P,PFPeA,5.0
Native American Reservations,Rincon Northern,113792P,PFBS,3.4
Native American Reservations,Viejas Community System,113793P,Total PFAS,24.3
Native American Reservations,Viejas Community System,113793P,PFBS,24.3
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,Total PFAS,83.3
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFOS,40.7
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFHxS,16.1
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFBA,11.0
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFHxA,7.3
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFPeA,4.9
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFHpA,3.3
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,Total PFAS,25.1
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFHxS,10.5
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFOA,6.4
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFHxA,4.3
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFPeA,3.9
AK,EIELSON - AIR FORCE BASE,105438R,Total PFAS,3.0
AK,EIELSON - AIR FORCE BASE,105438R,PFPeA,3.0
AK,FT WAINWRIGHT - MAIN POST,810-125638-2,Total PFAS,3.0
AK,FT WAINWRIGHT - MAIN POST,810-125638-2,PFHxS,3.0
AK,FT WAINWRIGHT - MAIN POST,810-125638-3,Total PFAS,4.3
AK,FT WAINWRIGHT - MAIN POST,810-125638-3,PFHxS,4.3
AK,GOLDEN HEART UTILITIES,810-110185-1,Total PFAS,21.2
AK,GOLDEN HEART UTILITIES,810-110185-1,PFHxS,8.8
AK,GOLDEN HEART UTILITIES,810-110185-1,PFOA,5.4
AK,GOLDEN HEART UTILITIES,810-110185-1,PFHxA,3.7
AK,GOLDEN HEART UTILITIES,810-110185-1,PFPeA,3.3
AK,MOA MUNICIPALITY OF ANCHORAGE,32302589001,Total PFAS,4.6
AK,MOA MUNICIPALITY OF ANCHORAGE,32302589001,PFHxS,4.6
AK,MOA MUNICIPALITY OF ANCHORAGE,32303204003,Total PFAS,3.5
AK,MOA MUNICIPALITY OF ANCHORAGE,32303204003,PFHxS,3.5
AK,WELL #13 DS EP,32303204003,PFHxS,11.2
AK,WELL #13 DS EP,32303204003,PFOA,9.1
AK,WELL #9 DS EP,32303204003,PFHxS,4.8
AK,UNIVERSITY OF ALASKA - FAIRBANKS,101828P,Total PFAS,4.7
AK,UNIVERSITY OF ALASKA - FAIRBANKS,101828P,PFHxS,4.7
AK,UNIVERSITY OF ALASKA - FAIRBANKS,107477P,Total PFAS,8.8
AK,UNIVERSITY OF ALASKA - FAIRBANKS,107477P,PFHxS,5.7
AK,UNIVERSITY OF ALASKA - FAIRBANKS,107477P,PFHxA,3.1
AK,WASILLA WATER SYSTEM,810-74504-1,Total PFAS,3.1
AK,WASILLA WATER SYSTEM,810-74504-1,PFHxS,3.1
AK,WASILLA WATER SYSTEM,810-92918-1,Total PFAS,4.2
AK,WASILLA WATER SYSTEM,810-92918-1,PFHxS,4.2
AL,ALABASTER WATER BOARD,35893093003SE1,Total PFAS,34.8
AL,ALABASTER WATER BOARD,35893093003SE1,PFPeA,7.7
AL,ALABASTER WATER BOARD,35893093003SE1,PFOS,6.9
AL,ALABASTER WATER BOARD,35893093003SE1,PFBA,5.6
AL,ALABASTER WATER BOARD,35893093003SE1,PFHxA,5.6
AL,ALABASTER WATER BOARD,35893093003SE1,PFOA,4.8
AL,ALABASTER WATER BOARD,35893093003SE1,PFBS,4.2
AL,ALABASTER WATER BOARD,35893093007SE1,Total PFAS,15.1
AL,ALABASTER WATER BOARD,35893093007SE1,PFOS,5.9
AL,ALABASTER WATER BOARD,35893093007SE1,PFBS,5.2
AL,ALABASTER WATER BOARD,35893093007SE1,PFOA,4.0
AL,ALABASTER WATER BOARD,35906307001SE1,Total PFAS,195.5
AL,ALABASTER WATER BOARD,35906307001SE1,PFBS,85.0
AL,ALABASTER WATER BOARD,35906307001SE1,PFPeA,32.0
AL,ALABASTER WATER BOARD,35906307001SE1,PFOA,21.0
AL,ALABASTER WATER BOARD,35906307001SE1,PFOS,19.0
AL,ALABASTER WATER BOARD,35906307001SE1,PFHxA,19.0
AL,ALABASTER WATER BOARD,35906307001SE1,PFBA,13.0
AL,ALABASTER WATER BOARD,35906307001SE1,PFHpA,6.5
AL,ALABASTER WATER BOARD,35914155001SE2,Total PFAS,147.2
AL,ALABASTER WATER BOARD,35914155001SE2,PFBS,62.0
AL,ALABASTER WATER BOARD,35914155001SE2,PFPeA,33.0
AL,ALABASTER WATER BOARD,35914155001SE2,PFHxA,18.0
AL,ALABASTER WATER BOARD,35914155001SE2,PFBA,14.0
AL,ALABASTER WATER BOARD,35914155001SE2,PFOA,11.0
AL,ALABASTER WATER BOARD,35914155001SE2,PFHpA,4.8
AL,ALABASTER WATER BOARD,35914155001SE2,PFOS,4.4
AL,ALABASTER WATER BOARD,35914155005SE2,Total PFAS,15.0
AL,ALABASTER WATER BOARD,35914155005SE2,PFOS,6.6
AL,ALABASTER WATER BOARD,35914155005SE2,PFBS,5.0
AL,ALABASTER WATER BOARD,35914155005SE2,PFHxS,3.4
AL,ALBERTVILLE UTILITIES BOARD,35876086001SE1,Total PFAS,22.7
AL,ALBERTVILLE UTILITIES BOARD,35876086001SE1,PFOA,7.3
AL,ALBERTVILLE UTILITIES BOARD,35876086001SE1,PFOS,4.8
AL,ALBERTVILLE UTILITIES BOARD,35876086001SE1,PFHxA,4.1
AL,ALBERTVILLE UTILITIES BOARD,35876086001SE1,PFPeA,3.5
AL,ALBERTVILLE UTILITIES BOARD,35876086001SE1,PFHpA,3.0
AL,ALBERTVILLE UTILITIES BOARD,35876086003SE1,Total PFAS,19.4
AL,ALBERTVILLE UTILITIES BOARD,35876086003SE1,PFOA,7.3
AL,ALBERTVILLE UTILITIES BOARD,35876086003SE1,PFOS,4.6
AL,ALBERTVILLE UTILITIES BOARD,35876086003SE1,PFHxA,4.0
AL,ALBERTVILLE UTILITIES BOARD,35876086003SE1,PFPeA,3.5
AL,ALBERTVILLE UTILITIES BOARD,35893078001SE2,Total PFAS,26.2
AL,ALBERTVILLE UTILITIES BOARD,35893078001SE2,PFBA,9.6
AL,ALBERTVILLE UTILITIES BOARD,35893078001SE2,PFOA,5.9
AL,ALBERTVILLE UTILITIES BOARD,35893078001SE2,PFHxA,5.7
AL,ALBERTVILLE UTILITIES BOARD,35893078001SE2,PFPeA,5.0
AL,ALBERTVILLE UTILITIES BOARD,35893078003SE2,Total PFAS,30.8
AL,ALBERTVILLE UTILITIES BOARD,35893078003SE2,PFBA,9.4
AL,ALBERTVILLE UTILITIES BOARD,35893078003SE2,PFOA,6.1
AL,ALBERTVILLE UTILITIES BOARD,35893078003SE2,PFHxA,5.8
AL,ALBERTVILLE UTILITIES BOARD,35893078003SE2,PFPeA,5.3
AL,ALBERTVILLE UTILITIES BOARD,35893078003SE2,PFOS,4.2
AL,ALBERTVILLE UTILITIES BOARD,35912845003SE3,Total PFAS,3.2
AL,ALBERTVILLE UTILITIES BOARD,35912845003SE3,PFHxA,3.2
AL,ANDALUSIA (UTILITIES BOARD OF),35867621008SE2,Total PFAS,5.0
AL,ANDALUSIA (UTILITIES BOARD OF),35867621008SE2,6:2 FTS,5.0
AL,ARDMORE WATER SYSTEM,114098P,Total PFAS,41.0
AL,ARDMORE WATER SYSTEM,114098P,PFOS,12.9
AL,ARDMORE WATER SYSTEM,114098P,PFBA,7.2
AL,ARDMORE WATER SYSTEM,114098P,PFOA,5.9
AL,ARDMORE WATER SYSTEM,114098P,PFHxA,4.4
AL,ARDMORE WATER SYSTEM,114098P,PFPeA,4.1
AL,ARDMORE WATER SYSTEM,114098P,PFBS,3.4
AL,ARDMORE WATER SYSTEM,114098P,PFHxS,3.1
AL,ARDMORE WATER SYSTEM,114099P,Total PFAS,13.2
AL,ARDMORE WATER SYSTEM,114099P,PFOS,8.1
AL,ARDMORE WATER SYSTEM,114099P,PFBA,5.1
AL,ARDMORE WATER SYSTEM,114100P,Total PFAS,23.0
AL,ARDMORE WATER SYSTEM,114100P,PFOS,9.9
AL,ARDMORE WATER SYSTEM,114100P,PFBA,5.3
AL,ARDMORE WATER SYSTEM,114100P,PFOA,4.3
AL,ARDMORE WATER SYSTEM,114100P,PFBS,3.5
AL,ARDMORE WATER SYSTEM,120544P,Total PFAS,20.5
AL,ARDMORE WATER SYSTEM,120544P,PFOS,9.2
AL,ARDMORE WATER SYSTEM,120544P,PFBA,6.5
AL,ARDMORE WATER SYSTEM,120544P,PFOA,4.8
AL,ARDMORE WATER SYSTEM,120546P,Total PFAS,28.4
AL,ARDMORE WATER SYSTEM,120546P,PFOS,10.0
AL,ARDMORE WATER SYSTEM,120546P,PFBA,6.8
AL,ARDMORE WATER SYSTEM,120546P,PFOA,5.1
AL,ARDMORE WATER SYSTEM,120546P,PFBS,3.5
AL,ARDMORE WATER SYSTEM,120546P,PFPeA,3.0
AL,ASBURY WATER SYSTEM,101849P,Total PFAS,11.4
AL,ASBURY WATER SYSTEM,101849P,PFBA,8.3
AL,ASBURY WATER SYSTEM,101849P,PFBS,3.1
AL,ASBURY WATER SYSTEM,101850P,Total PFAS,27.4
AL,ASBURY WATER SYSTEM,101850P,PFOA,9.1
AL,ASBURY WATER SYSTEM,101850P,PFOS,5.8
AL,ASBURY WATER SYSTEM,101850P,PFHpA,4.7
AL,ASBURY WATER SYSTEM,101850P,PFHxA,4.3
AL,ASBURY WATER SYSTEM,101850P,PFPeA,3.5
AL,ASBURY WATER SYSTEM,104767P,Total PFAS,13.3
AL,ASBURY WATER SYSTEM,104767P,PFBA,7.1
AL,ASBURY WATER SYSTEM,104767P,PFBS,6.2
AL,ASBURY WATER SYSTEM,104768P,Total PFAS,19.8
AL,ASBURY WATER SYSTEM,104768P,PFBA,7.4
AL,ASBURY WATER SYSTEM,104768P,PFHxA,4.4
AL,ASBURY WATER SYSTEM,104768P,PFPeA,4.1
AL,ASBURY WATER SYSTEM,104768P,PFBS,3.9
AL,ASBURY WATER SYSTEM,107498P,Total PFAS,12.8
AL,ASBURY WATER SYSTEM,107498P,PFBA,9.7
AL,ASBURY WATER SYSTEM,107498P,PFBS,3.1
AL,ASBURY WATER SYSTEM,110826P,Total PFAS,5.5
AL,ASBURY WATER SYSTEM,110826P,PFBA,5.5
AL,BELFOREST WATER SYSTEM,35782399001SE1,Total PFAS,10.4
AL,BELFOREST WATER SYSTEM,35782399001SE1,PFBA,7.4
AL,BELFOREST WATER SYSTEM,35782399001SE1,PFBS,3.0
AL,BELFOREST WATER SYSTEM,GG02786-01,Total PFAS,10.7
AL,BELFOREST WATER SYSTEM,GG02786-01,PFBA,7.3
AL,BELFOREST WATER SYSTEM,GG02786-01,PFBS,3.4
AL,BELFOREST WATER SYSTEM,GG02786-03,Total PFAS,27.0
AL,BELFOREST WATER SYSTEM,GG02786-03,PFBS,5.1
AL,BELFOREST WATER SYSTEM,GG02786-03,PFPeA,5.0
AL,BELFOREST WATER SYSTEM,GG02786-03,PFOA,4.5
AL,BELFOREST WATER SYSTEM,GG02786-03,PFOS,4.2
AL,BELFOREST WATER SYSTEM,GG02786-03,PFHxA,4.1
AL,BELFOREST WATER SYSTEM,GG02786-03,PFHxS,4.1
AL,BESSEMER WATER SERVICE,810-108613-1,Total PFAS,28.1
AL,BESSEMER WATER SERVICE,810-108613-1,PFPeA,7.7
AL,BESSEMER WATER SERVICE,810-108613-1,PFOS,5.7
AL,BESSEMER WATER SERVICE,810-108613-1,PFHxA,5.7
AL,BESSEMER WATER SERVICE,810-108613-1,PFBA,5.6
AL,BESSEMER WATER SERVICE,810-108613-1,PFBS,3.4
AL,BESSEMER WATER SERVICE,810-119376-1,Total PFAS,25.0
AL,BESSEMER WATER SERVICE,810-119376-1,PFBA,6.0
AL,BESSEMER WATER SERVICE,810-119376-1,PFOS,5.9
AL,BESSEMER WATER SERVICE,810-119376-1,PFPeA,5.3
AL,BESSEMER WATER SERVICE,810-119376-1,PFHxA,4.2
AL,BESSEMER WATER SERVICE,810-119376-1,PFBS,3.6
AL,BESSEMER WATER SERVICE,810-129933-1,Total PFAS,3.4
AL,BESSEMER WATER SERVICE,810-129933-1,PFPeA,3.4
AL,BEULAH UTILITIES DISTRICT,101740R,Total PFAS,28.6
AL,BEULAH UTILITIES DISTRICT,101740R,PFOA,8.8
AL,BEULAH UTILITIES DISTRICT,101740R,PFBA,7.7
AL,BEULAH UTILITIES DISTRICT,101740R,PFHxA,4.9
AL,BEULAH UTILITIES DISTRICT,101740R,PFOS,4.2
AL,BEULAH UTILITIES DISTRICT,101740R,PFPeA,3.0
AL,BEULAH UTILITIES DISTRICT,104510R,Total PFAS,16.9
AL,BEULAH UTILITIES DISTRICT,104510R,PFBA,7.6
AL,BEULAH UTILITIES DISTRICT,104510R,PFOA,5.7
AL,BEULAH UTILITIES DISTRICT,104510R,PFHxA,3.6
AL,BEULAH UTILITIES DISTRICT,108437R,Total PFAS,19.7
AL,BEULAH UTILITIES DISTRICT,108437R,PFOS,5.4
AL,BEULAH UTILITIES DISTRICT,108437R,PFOA,5.3
AL,BEULAH UTILITIES DISTRICT,108437R,PFHxA,4.9
AL,BEULAH UTILITIES DISTRICT,108437R,PFPeA,4.1
AL,BEULAH UTILITIES DISTRICT,108540P,Total PFAS,24.7
AL,BEULAH UTILITIES DISTRICT,108540P,PFOS,6.2
AL,BEULAH UTILITIES DISTRICT,108540P,PFOA,5.7
AL,BEULAH UTILITIES DISTRICT,108540P,PFHxA,5.1
AL,BEULAH UTILITIES DISTRICT,108540P,PFPeA,4.5
AL,BEULAH UTILITIES DISTRICT,108540P,PFBS,3.2
AL,BIRMINGHAM WATER WORKS BOARD,810-122033-1,Total PFAS,25.4
AL,BIRMINGHAM WATER WORKS BOARD,810-122033-1,PFHxA,8.5
AL,BIRMINGHAM WATER WORKS BOARD,810-122033-1,6:2 FTS,5.8
AL,BIRMINGHAM WATER WORKS BOARD,810-122033-1,PFPeA,5.6
AL,BIRMINGHAM WATER WORKS BOARD,810-122033-1,PFBS,5.5
AL,BIRMINGHAM WATER WORKS BOARD,810-128620-1,Total PFAS,33.2
AL,BIRMINGHAM WATER WORKS BOARD,810-128620-1,PFPeA,11.3
AL,BIRMINGHAM WATER WORKS BOARD,810-128620-1,PFHxA,7.9
AL,BIRMINGHAM WATER WORKS BOARD,810-128620-1,PFBS,7.9
AL,BIRMINGHAM WATER WORKS BOARD,810-128620-1,PFBA,6.1
AL,BOAZ WATER & SEWER BOARD,35907817001SE1,Total PFAS,13.9
AL,BOAZ WATER & SEWER BOARD,35907817001SE1,PFBA,6.5
AL,BOAZ WATER & SEWER BOARD,35907817001SE1,PFPeA,3.9
AL,BOAZ WATER & SEWER BOARD,35907817001SE1,PFHxA,3.5
AL,BRIDGEPORT UTILITIES BOARD,101845P,Total PFAS,3.1
AL,BRIDGEPORT UTILITIES BOARD,101845P,PFBS,3.1
AL,BRIDGEPORT UTILITIES BOARD,114054R,Total PFAS,5.2
AL,BRIDGEPORT UTILITIES BOARD,114054R,PFBA,5.2
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,Total PFAS,76.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFOS,27.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFOA,17.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFBA,9.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFBS,5.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFHxA,5.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFHpA,3.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFHxS,3.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104950-1,PFPeA,3.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104953-1,Total PFAS,11.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104953-1,PFOS,6.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104953-1,PFBS,5.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,Total PFAS,76.2
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFOS,26.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFOA,17.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFBA,10.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFBS,6.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFHxA,5.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFHpA,4.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFHxS,3.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104955-1,PFPeA,3.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,Total PFAS,82.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFOS,29.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFOA,19.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFBA,11.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFHxA,5.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFBS,5.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFHpA,4.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFHxS,3.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104957-1,PFPeA,3.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104958-1,Total PFAS,15.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104958-1,PFOS,6.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104958-1,PFBS,5.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-104958-1,PFHxA,3.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,Total PFAS,83.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,PFBA,37.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,PFOS,19.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,PFOA,9.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,PFBS,8.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,PFHxA,4.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71479-1,PFPeA,3.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,Total PFAS,34.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,PFBS,7.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,PFOS,7.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,PFHxA,6.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,PFBA,5.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,PFOA,4.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71480-1,PFHxS,3.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,Total PFAS,48.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,PFOS,14.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,PFBA,12.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,PFBS,7.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,PFOA,7.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,PFHxA,3.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71481-1,PFPeA,3.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,Total PFAS,51.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,PFBA,15.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,PFOS,14.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,PFOA,7.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,PFBS,7.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,PFHxA,3.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71482-1,PFPeA,3.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71483-1,Total PFAS,25.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71483-1,PFBA,7.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71483-1,PFOS,5.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71483-1,PFBS,5.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71483-1,PFHxA,3.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71483-1,PFPeA,3.2
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,Total PFAS,53.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,PFOS,17.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,PFBA,11.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,PFOA,9.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,PFBS,8.2
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,PFHxA,4.2
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-71484-1,PFPeA,3.0
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,Total PFAS,45.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,PFOS,13.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,PFBA,13.5
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,PFOA,8.4
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,PFHxA,3.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,PFBS,3.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81235-1,PFPeA,3.1
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,Total PFAS,46.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,PFBA,13.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,PFOS,13.7
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,PFOA,8.2
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,PFHxA,3.9
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,PFBS,3.8
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81239-1,PFPeA,3.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81288-1,Total PFAS,44.6
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81288-1,PFOS,13.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81288-1,PFBA,12.3
AL,COLBERT COUNTY RURAL WATER SYSTEM,810-81288-1,PFOA,8.1
